Ref,Val,Package,PosX,PosY,Rot,Side
"C1","DNP","C_0603_1608Metric",125.603000,-84.074000,0.000000,top
"C2","3.3pF","C_0603_1608Metric",125.603000,-79.248000,0.000000,top
"C3","1uF, 16v","C_0603_1608Metric",155.575000,-100.457000,0.000000,top
"C4","10uf 6.3v","C_0603_1608Metric",167.640000,-79.502000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",165.481000,-79.502000,90.000000,top
"C6","10uf 6.3v","C_0603_1608Metric",125.476000,-93.345000,90.000000,top
"C7","0.1uF","C_0603_1608Metric",127.508000,-93.345000,90.000000,top
"C8","1uF, 16v","C_0603_1608Metric",170.561000,-83.947000,-90.000000,top
"C9","10uf 6.3v","C_0603_1608Metric",173.609000,-87.884000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",172.466000,-83.947000,-90.000000,top
"C11","10uf 6.3v","C_0603_1608Metric",171.069000,-91.059000,90.000000,top
"C13","1uF, 16v","C_0603_1608Metric",154.813000,-108.712000,0.000000,top
"D1","1N4148W","D_SOD-123",168.402000,-101.727000,-90.000000,top
"D2","1N4148W","D_SOD-123",175.768000,-95.504000,90.000000,top
"D3","1N4148W","D_SOD-123",167.640000,-86.995000,-90.000000,top
"D4","1N4148W","D_SOD-123",164.084000,-86.995000,-90.000000,top
"L1","14nH","L_0603_1608Metric",124.841000,-81.661000,90.000000,top
"Q1","MMBT3904","SOT-23",171.958000,-94.742000,0.000000,top
"R1","220k","R_0603_1608Metric",160.274000,-102.743000,0.000000,top
"R2","10k","R_0603_1608Metric",172.466000,-80.645000,90.000000,top
"R3","100k","R_0603_1608Metric",163.703000,-102.743000,0.000000,top
"R4","100k","R_0603_1608Metric",166.624000,-90.424000,0.000000,top
"R6","10k","R_0603_1608Metric",175.641000,-87.884000,90.000000,top
"R7","100k","R_0603_1608Metric",172.974000,-91.059000,-90.000000,top
"R8","10k","R_0603_1608Metric",175.768000,-91.059000,-90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",164.084000,-94.869000,0.000000,top
"U1","MAX40203AUK+T","SOT-23-5",149.987000,-108.331000,90.000000,top
"U2","RFM95CW","HOPERF_RFM9XW_SMD",138.430000,-93.091000,180.000000,top
"U3","STM32C011F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",160.020000,-78.867000,180.000000,top
"U4","XC6210B332MR","SOT-23-5",155.448000,-104.648000,90.000000,top
